"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"60385",2020-06-08,"","","","","0","","","On the You Tube video&#44 Real Sound of Space Shuttle STS-117 Launch&#44 3 miles.  UFO cuts through cloud just like in the Iranian launch.  S",0,0,0
"60477",2020-06-08,"","ia","","","0","cigar","2 minutes","Red white and green",0,0,0
"60541",2020-06-09,"","tx","","","0","oval","10 minutes","Low flying object visited my street",0,0,0
"60912",2020-07-10,"","","","","0","","","i guess i&#39m to stupid to file a report here can&#39t get passed your event time.sure hate wastin time on things that should be easy th",0,0,0
"61031",2019-07-11,"","ut","","","0","disk","30 minutes","Hi Peter&#44 l listened to you on coast to coast tonight and have heard this story a few times from a distant friend when l lived in Utah",0,0,0
"61639",2020-07-01,"","","","","0","","see below","Possible 2nd ufo crash on same flight path as Roswell 1947ufo.",0,0,0
"61731",2020-07-01,"","nv","","","0","light","02:00","bright object in northwest sky with repeat pattern every 12 mins.",0,0,0
"62218",2020-07-13,"","tx","","","0","formation","","3 AIRCRAFTS IN TRIANGLE FORMATION. THE 2 FRONT AIRCRAFTS WERE FLYING WITHOUT ANY LIGHTS.THE THIRD ONE HAD LIGHTS.",0,0,0
"63656",2020-07-15,"","ms","","","0","formation","5 minutes","My two children and I saw strange lights move around the sky. Antigravity type motion&#44silent&#44some suddenly vanished",0,0,0
"64711",2019-07-20,"","fl","","","0","triangle","~10 minutes","Large Triangular craft going East over the Atlantic Ocean .",0,0,0
"65880",2020-07-23,"","ok","","","0","other","","Strange long light figure in front of storm",0,0,0
"66092",2020-07-24,"","","","","0","","","This was posted on  http://www.news.com.au/story/0&#4423599&#4424070088-13762&#4400.html",0,0,0
"66094",2020-07-24,"","","","","0","","","im trying to log a citing but your stupid web site wont let me",0,0,0
"66475",2020-07-25,"","","","","0","","","Summary letter to Peter Davenport.",0,0,0
