"","datetime","city","country","shape"
"274",2020-10-10,"moundville","us","changing"
"275",2020-10-10,"new york city (bronx)","us","disk"
"276",2020-10-10,"mount albert (canada)","","triangle"
"277",2020-10-10,"las cruces","us","fireball"
"278",2020-10-10,"marion","us","light"
"279",2020-10-10,"san jose","us","other"
"280",2020-10-10,"phoenix","us","sphere"
"281",2020-10-10,"yakima","us","light"
"282",2020-10-10,"austin","us","changing"
"283",2020-10-10,"bean station","us","cigar"
"284",2020-10-10,"rochester","us","light"
"285",2020-10-10,"suffern","us","cylinder"
"286",2020-10-10,"rancho mirage","us","rectangle"
"287",2020-10-10,"clifton","","light"
"288",2020-10-10,"palm harbor","us","chevron"
"289",2020-10-10,"sandusky","us","triangle"
"290",2020-10-10,"aurburn","","triangle"
"291",2020-10-10,"st. louis county","us","light"
"292",2020-10-10,"ottawa (canada)","ca","light"
"293",2020-10-10,"rittman","us","light"
"294",2020-10-10,"harvey station (canada)","ca","light"
"295",2020-10-10,"essex junction","us","light"
"296",2020-10-10,"kenner","us","circle"
"297",2020-10-10,"drexel","us","circle"
"298",2020-10-10,"hudson","us","light"
"299",2020-10-10,"grand blanc","us","light"
"300",2020-10-10,"savage","us","circle"
"301",2020-10-10,"warren","us","sphere"
"302",2020-10-10,"canton","us","triangle"
"303",2020-10-10,"kingsville (canada)","ca",""
"304",2020-10-10,"lost creek","us","triangle"
"305",2020-10-10,"hudson","us","light"
"306",2019-10-11,"jupiter","us","egg"
"307",2019-10-11,"brighton","us","circle"
"308",2019-10-11,"alice springs  (nt&#44 australia)","au",""
"309",2019-10-11,"minnetonka","us","light"
"310",2019-10-11,"otto","us","fireball"
"311",2019-10-11,"copenhagen (denmark)","","fireball"
"312",2019-10-11,"kewanee","us","sphere"
"313",2019-10-11,"kewanee","us","sphere"
"314",2019-10-11,"albuquerque","us","sphere"
"315",2019-10-11,"jackson","us","triangle"
"316",2019-10-11,"riverside","us","chevron"
"317",NA,"hot springs and custer","","triangle"
"318",2019-10-11,"new york city (brooklyn)","us",""
"319",2019-10-11,"huntington","us",""
"320",2019-10-11,"bismarck","us","formation"
"321",2019-10-11,"damascus","us","light"
"322",2019-10-11,"hafnarfjordur (iceland)","","sphere"
"323",2019-10-11,"esl&ouml;&#44 scania (sweden)","",""
"324",2019-10-11,"montara","us","other"
"325",2019-10-11,"vega baja (puerto rico)","us","cigar"
"326",2019-10-11,"mount carmel","us","light"
"327",2019-10-11,"highland","us","sphere"
"328",2019-10-11,"highland","us","sphere"
"329",2019-10-11,"bar harbor (bar island crossover)","us","sphere"
"330",2019-10-11,"elk grove","us","fireball"
"331",2019-10-11,"montgomery","us","light"
"332",2019-10-11,"milton (canada)","ca","triangle"
"333",2019-10-11,"los angeles","us","light"
"334",2019-10-11,"somerset?","","unknown"
"335",2019-10-11,"three rivers","us","oval"
"336",2019-10-11,"canby","us","light"
